                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3191,                 4.4065,                  3.729,                 1.8508,                0.00192,                0.23711,                0.00134,                0.00041,                0.00067,                0.08247,                0.01543,                0.00622,                 2.4794,                  6.447,                 4.1442,                  2.498,                0.00028,                0.00028,                0.00028
                      2,                 1.9242,                 3.1208,                 2.5444,                 1.4188,                0.00483,                0.59794,                0.02801,                0.01525,                0.00283,                0.35052,                0.03282,                0.02064,                 2.2904,                 4.2647,                 4.0221,                 2.2694,             0.00055129,             0.00055129,             0.00055129
                      3,                 1.7963,                 3.0276,                 2.3947,                 1.4277,                0.00542,                 0.6701,                0.03152,                0.02078,                0.00358,                 0.4433,                0.02835,                0.01698,                 2.1241,                 4.1164,                 3.7999,                  1.983,             0.00079288,             0.00079288,             0.00079288
                      4,                 1.7649,                  2.722,                 2.1919,                 1.4127,                0.04536,                0.07216,                0.03852,                  0.019,                 0.0324,                0.05155,                0.03095,                0.00704,                 2.0705,                 4.6297,                 3.6292,                 1.8347,              0.0010048,              0.0010048,              0.0010048
                      5,                 1.7596,                 2.7092,                 2.0476,                 1.3742,                0.07523,                0.03093,                0.01893,                0.00701,                0.05662,                0.02062,                0.02391,                0.00728,                 2.1092,                 3.7381,                  3.549,                 1.8624,               0.001187,               0.001187,               0.001187
                      6,                 1.7876,                 2.7031,                 2.0071,                 1.4188,                0.19575,                0.06186,                0.07589,                0.02762,                0.16467,                0.05155,                0.05972,                0.02146,                  2.326,                  4.106,                 3.1753,                 1.9763,              0.0013394,              0.0013394,              0.0013394
                      7,                 1.7422,                 2.6853,                 1.9109,                 1.4023,                0.23198,                0.30928,                0.16244,                0.05796,                0.25195,                0.17526,                0.10866,                0.04105,                 2.1287,                 3.5179,                 3.0791,                 1.9041,               0.001406,               0.001406,               0.001406
                      8,                 1.7821,                 2.8097,                 1.9352,                 1.3656,                0.27149,                0.24742,                0.16322,                0.05371,                0.22624,                0.20619,                 0.1088,                0.03286,                 2.3924,                 3.7712,                 3.4444,                 1.9064,               0.001406,               0.001406,               0.001406
                      9,                 1.7405,                 2.5838,                 1.8598,                 1.3705,                0.18993,                0.29897,                0.18009,                0.07052,                0.18224,                 0.3299,                0.14632,                0.04771,                 2.2879,                 3.6404,                 2.8585,                 1.7808,               0.001307,               0.001307,               0.001307
                     10,                 1.6942,                 2.6273,                 1.8237,                 1.3412,                0.14412,                0.30928,                0.12733,                0.05376,                0.11494,                0.26804,                 0.0866,                0.03941,                 2.2568,                 3.7987,                 2.9237,                 1.7558,               0.001208,               0.001208,               0.001208
                     11,                 1.7304,                 2.6784,                 1.9983,                 1.3837,                0.17398,                0.21649,                0.12816,                0.06213,                0.19703,                0.19588,                0.12615,                0.05273,                  2.211,                 3.9394,                 2.8533,                 1.7052,               0.001109,               0.001109,               0.001109
                     12,                 1.7226,                  2.603,                 1.9649,                  1.398,                0.27373,                0.29897,                0.20062,                0.08265,                0.20766,                 0.2268,                0.12857,                0.04605,                 2.1678,                 3.9135,                 2.4546,                  1.704,                0.00101,                0.00101,                0.00101
                     13,                 1.6916,                 2.5882,                 1.8805,                 1.3462,                0.22684,                0.29897,                0.18902,                0.06427,                0.20656,                0.17526,                0.11226,                0.03961,                 2.2008,                  3.785,                 2.6864,                 1.7596,               0.000911,               0.000911,               0.000911
                     14,                 1.6722,                 2.5468,                 1.7752,                 1.3536,                0.32492,                0.26804,                0.19284,                0.07373,                 0.3558,                0.24742,                0.16339,                0.05362,                 2.1418,                 3.5676,                 2.5692,                   1.68,               0.000812,               0.000812,               0.000812
                     15,                 1.6482,                  2.512,                 1.7172,                 1.3438,                0.29286,                0.38144,                0.21578,                0.08537,                0.22704,                0.32099,                0.16605,                0.05881,                 2.0122,                 3.2065,                  2.348,                 1.6576,               0.000713,               0.000713,               0.000713
                     16,                 1.6526,                  2.525,                 1.6778,                  1.359,                0.37409,                0.34508,                0.27906,                0.10083,                0.31821,                0.29354,                0.19321,                0.05145,                 2.0473,                 3.4907,                 2.3819,                 1.6883,               0.000614,               0.000614,               0.000614
                     17,                   1.58,                 2.4411,                 1.6084,                 1.3278,                0.33617,                0.35052,                0.26935,                0.08659,                0.40533,                 0.3299,                0.25506,                0.06906,                 2.1297,                 3.0589,                  2.387,                 1.7365,               0.000515,               0.000515,               0.000515
                     18,                 1.5527,                 2.3895,                 1.5751,                 1.3003,                0.40612,                0.34021,                0.30087,                0.12557,                 0.3692,                0.30928,                0.24083,                0.08181,                 2.0477,                 2.9607,                 2.3228,                 1.6597,               0.000416,               0.000416,               0.000416
                     19,                 1.5738,                 2.3731,                  1.554,                 1.3252,                0.34137,                0.36082,                0.30614,                0.13729,                0.32429,                0.32162,                0.26033,                0.10187,                  1.992,                 3.1201,                 2.3598,                 1.5736,               0.000317,               0.000317,               0.000317
                     20,                   1.52,                 2.2687,                 1.4871,                 1.2775,                0.32709,                0.35052,                0.32223,                  0.146,                 0.2965,                 0.3299,                0.26877,                0.10829,                 1.9552,                 3.1204,                 2.2507,                 1.5541,               0.000218,               0.000218,               0.000218
